Artskonto;Omkostningssted;PSP-element;Profitcenter;Ordre;Debet/kredit;Beløb;Næste agent;Tekst;Betalingsart;Påligningsår;Betalingsmodtagernr.;Betalingsmodtagernr.kode;Ydelsesmodtagernr.;Ydelsesmodtagernr.kode;Ydelsesperiode fra;Ydelsesperiode til;Oplysningspligtnr.;Oplysningspligtmodtagernr.kode;Oplysningspligtkode;Netværk;Operation;Mængde;Mængdeenhed;Referencenøgle
72000000;;XG-0000002668-00020;;;Kredit;10;;MP Ungemiljø Midt/Kaosambassaden;;;;;;;;;;;;;;;;
90510000;;;;;Debet;10;;MP Ungemiljø Midt/Kaosambassaden;;;;;;;;;;;;;;;;
79000000;;XG-0000002667-00008;;;Kredit;23.350;;MP Randers Ungdomsskole - undervisning;;;;;;;;;;;;;;;;
90510000;;;;;Debet;23.350;;MP Randers Ungdomsskole - undervisning;;;;;;;;;;;;;;;;
95941300;;;;;Kredit;680;;MP Museum Østjylland;;;;;;;;;;;;;;;;
90510000;;;;;Debet;680;;MP Museum Østjylland;;;;;;;;;;;;;;;;
72000000;;XG-0000002544-00025;;;Kredit;62;;MP Tirsdalens Skole;;;;;;;;;;;;;;;;
90510000;;;;;Debet;62;;MP Tirsdalens Skole;;;;;;;;;;;;;;;;
72000000;;XG-0000002521-00031;;;Kredit;27;;MP Rismølleskolen;;;;;;;;;;;;;;;;
90510000;;;;;Debet;27;;MP Rismølleskolen;;;;;;;;;;;;;;;;
72000000;;XG-0000002511-00021;;;Kredit;1.357;;MP Nørrevangsskolen;;;;;;;;;;;;;;;;
90510000;;;;;Debet;1.357;;MP Nørrevangsskolen;;;;;;;;;;;;;;;;
72000000;;XG-0000002548-00001;;;Kredit;314;;MP Personalebet. Tirsdalens Skole;;;;;;;;;;;;;;;;
90510000;;;;;Debet;314;;MP Personalebet. Tirsdalens Skole;;;;;;;;;;;;;;;;
72000000;;XG-0000002890-00056;;;Kredit;545;;MP Randers specialskoler;;;;;;;;;;;;;;;;
90510000;;;;;Debet;545;;MP Randers specialskoler;;;;;;;;;;;;;;;;
72000000;;XG-0000002465-00047;;;Kredit;300;;MP Korshøjskolen;;;;;;;;;;;;;;;;
90510000;;;;;Debet;300;;MP Korshøjskolen;;;;;;;;;;;;;;;;
90100011;;;;;Kredit;362;;MP CBR Randers;;;;;;;;;;;;;;;;
90510000;;;;;Debet;362;;MP CBR Randers;;;;;;;;;;;;;;;;
72000000;;XG-0000003038-00126;;;Kredit;754;;MP Center for Psykiatri Indsats;;;;;;;;;;;;;;;;
90510000;;;;;Debet;754;;MP Center for Psykiatri Indsats;;;;;;;;;;;;;;;;
