Artskonto;Omkostningssted;PSP-element;Profitcenter;Ordre;Debet/kredit;Beløb;Næste agent;Tekst;Betalingsart;Påligningsår;Betalingsmodtagernr.;Betalingsmodtagernr.kode;Ydelsesmodtagernr.;Ydelsesmodtagernr.kode;Ydelsesperiode fra;Ydelsesperiode til;Oplysningspligtnr.;Oplysningspligtmodtagernr.kode;Oplysningspligtkode;Netværk;Operation;Mængde;Mængdeenhed;Referencenøgle
72000000;;XG-0000002668-00014;;;Kredit;12;;MP Klub Fårup;;;;;;;;;;;;;;;;
90510000;;;;;Debet;12;;MP Klub Fårup;;;;;;;;;;;;;;;;
72000000;;XG-0000002668-00020;;;Kredit;5;;MP Ungemiljø Midt/Kaosambassaden;;;;;;;;;;;;;;;;
90510000;;;;;Debet;5;;MP Ungemiljø Midt/Kaosambassaden;;;;;;;;;;;;;;;;
79000000;;XG-0000002667-00008;;;Kredit;9.410;;MP Randers Ungdomsskole - undervisning;;;;;;;;;;;;;;;;
90510000;;;;;Debet;9.410;;MP Randers Ungdomsskole - undervisning;;;;;;;;;;;;;;;;
72000000;;XG-0000002531-00016;;;Kredit;150;;MP Søndermarkskolen;;;;;;;;;;;;;;;;
90510000;;;;;Debet;150;;MP Søndermarkskolen;;;;;;;;;;;;;;;;
72000000;;XG-0000002568-00049;;;Kredit;900;;MP Østervangsskolen;;;;;;;;;;;;;;;;
90510000;;;;;Debet;900;;MP Østervangsskolen;;;;;;;;;;;;;;;;
72000000;;XG-0000002511-00021;;;Kredit;420;;MP Nørrevangsskolen;;;;;;;;;;;;;;;;
90510000;;;;;Debet;420;;MP Nørrevangsskolen;;;;;;;;;;;;;;;;
72000000;;XG-0000002890-00056;;;Kredit;550;;MP Randers specialskoler;;;;;;;;;;;;;;;;
90510000;;;;;Debet;550;;MP Randers specialskoler;;;;;;;;;;;;;;;;
72000000;;XG-0000002465-00047;;;Kredit;300;;MP Korshøjskolen;;;;;;;;;;;;;;;;
90510000;;;;;Debet;300;;MP Korshøjskolen;;;;;;;;;;;;;;;;
90100011;;;;;Kredit;238;;MP CBR Randers;;;;;;;;;;;;;;;;
90510000;;;;;Debet;238;;MP CBR Randers;;;;;;;;;;;;;;;;
72000000;;XG-0000003038-00126;;;Kredit;662;;MP Center for Psykiatri Indsats;;;;;;;;;;;;;;;;
90510000;;;;;Debet;662;;MP Center for Psykiatri Indsats;;;;;;;;;;;;;;;;
72000000;;XG-0000004204-00002;;;Kredit;158;;MP Condomeriet, Randers Sundhedscenter;;;;;;;;;;;;;;;;
90510000;;;;;Debet;158;;MP Condomeriet, Randers Sundhedscenter;;;;;;;;;;;;;;;;
