name;myShopNumber;brandId;Posteringstekst;Artskonto;PSP
Affaldskontoret;348681;;MP Affaldskontoret;72000000;XG-0000005285-00006
Kristrupcentret;248493;;MP Kristrupcentret;79000000;XG-0000004526-00034
Jennumparkens fritidshjem;187771;;MP Jennumparkens fritidshjem;72000000;XG-0000002598-00003
Nellemann;599151;;MP Nellemann;72000000;XG-0000004526-00037
Asferg Skole;142445;;MP Asferg Skole;72000000;XG-0000002359-00016
Munkholmskolen;659127;;MP Munkholmskolen;79000000;XG-0000002501-00022
Udbyhøj Lystbådehavn;398278;;MP Udbyhøj Lystbådehavn;79000000;XG-0000004025-00002
Madservice Kronjylland ;726082;;MP Madservice Kronjylland ;72000000;xg-0000004526-00018
Matrielgården;350353;;MP Matrielgården;79000000;XG-0000005004-00023
Markedsgade;755789;;MP Markedsgade;72000000;XG-0000003038-00105
Blicherskolen;935134;;MP Blicherskolen;79000000;XG-0000002392-00042
Cafe Åbakken;582771;;MP Cafe Åbakken;72000000;XG-0000004526-00026
Vestervangsskolen;830577;;MP Vestervangsskolen;79000000;XG-0000002555-00002
Vestervangsskolen Juniorklubben;344413;;MP Vestervangsskolen Juniorklubben;79000000;XG-0000002564-00001
CSV;472001;;MP CSV;95932400;
Plejecenter Lindevænget;261333;;MP Plejecenter Lindevænget;72000000;XG-0000004526-00036
Svaleparken ;543825;;MP Svaleparken ;72000000;XG-0000004526-00038
Plejecenter Tirsdalen;866375;;MP Plejecenter Tirsdalen;72000000;XG-0000004526-00040
Hornbæk Juniorklub;742954;;MP Hornbæk Juniorklub;72000000;XG-0000002461-00001
Tirsdalens Skole -Arrangementer/ lejr;182105;;MP Tirsdalens Skole -Arrangementer/ lejr;79000000;XG-0000002544-00024
Fritidsklubben Vennelyst;995139;;MP Fritidsklubben Vennelyst;72000000;XG-0000002484-00001
Hornbæk Skole;731049;;MP Hornbæk Skole;79000000;XG-0000002452-00024
Randers kommune udlån nr 3;669655;;MP Randers kommune udlån nr 3;95990009;
Sprogcenter Til Webshop;778549;;MP Sprogcenter Til Webshop;79000000;XG-0000003397-00016
Søndermarkskolen - Skolefest;374111;;MP Søndermarkskolen - Skolefest;79000000;XG-0000002531-00002
Kloge Hænder Messe - velfærd med omtanke 2023;104171;;MP Kloge Hænder Messe - velfærd med omtanke 2023;79000000;XG-0000003020-00276
Møbelcirklen;675451;;MP Møbelcirklen;72000000;XG-0000003078-00122
Randers Ungdomsskole Afdeling Heltidsundervisning;971414;;MP Randers Ungdomsskole Afdeling Heltidsundervisning;79000000;XG-0000002669-00008
Havndal Skole;659660;;MP Havndal Skole;79000000;XG-0000002426-00017
Randers Cykelby-Udlån cykler;222297;;MP Randers Cykelby-Udlån cykler;79000000;XG-0000005063-00011
Holbergkollegiet;531472;;MP Holbergkollegiet;79000000;XG-0000003038-00171
Assentoftskolen;992725;;MP Assentoftskolen;79000000;xg-2369-22
Håndværkerparkering;648811;;MP Håndværkerparkering;79000000;XG-0000005096-00009
Giv Randers et træ;150664;;MP Giv Randers et træ;79000000;XA-9258200001-00041
PLC;469446;;MP PLC;79000000;XG-0000002555-00002
Rismølleskolen-Skolefest;349250;;MP Rismølleskolen-Skolefest;72000000;XG-0000002521-00031
Bjerregrav skole-skolefest arrangementer;351378;;MP Bjerregrav skole-skolefest arrangementer;72000000;XG-0000002382-00017
Kristrup skole-vilde vulkaner;134100;;MP Kristrup skole-vilde vulkaner;79000000;XG-0000002475-00029
Kristrup Skole-Lejrskole;824395;;MP Kristrup Skole-Lejrskole;79000000;XG-0000002475-00015
Kristrup skole-Elevråd;894390;;MP Kristrup skole-Elevråd;79000000;XG-0000002475-00018
RU fælles kiosk;192334;;MP RU fælles kiosk;72000000;XG-0000002668-00027
Randers Musikskole;440754;;MP Randers Musikskole;72000000;XG-0000004087-00001
Sammenhængskonference i Familieområdet;940094;;MP Sammenhængskonference i Familieområdet;79000000;XG-0000002830-00001
Bar Ridehus/Amfi;660231;;MP Bar Ridehus/Amfi;72000000;XG-0000004100-00018
Kaffeautomater-Sprogcenter Randers;710462;;MP Kaffeautomater-Sprogcenter Randers;79000000;XG-0000003397-00050
Område Syd Vorup Plejehjem cafe;;f049197e-0f0a-47ff-a464-ecc21ea28eff;MP Område Syd Vorup Plejehjem cafe;72000000;XG-0000004526-00041
Område Syd Lindevænget;;edd74eec-f3bc-446a-a56d-e426336c0c1e;MP Område Syd Lindevænget;72000000;XG-0000004526-00036
Område Syd Svaleparken;;c91e7d33-3334-46bb-8b2f-b256328375ac;MP Område Syd Svaleparken;72000000;XG-0000004526-00038
Område Vest Kollektivhuset;;ac28534c-4689-407c-8227-1e851173dbb4;MP Område Vest Kollektivhuset;72000000;XG-0000004526-00044
Område Vest Terneparken;;8778a1f5-4846-4e78-9151-cb1c4a0a55d4;MP Område Vest Terneparken;72000000;XG-0000004526-00048
Område Syd Tirsdalen;;810ca2fb-fc47-4c65-b053-b682e52a20e3;MP Område Syd Tirsdalen;72000000;XG-0000004526-00040
Område Nord Dronningborg;;6b37446f-e5dc-45d7-8efa-f10a6b4b40e6;MP Område Nord Dronningborg;72000000;XG-0000004526-00030
Område Vest Borupvænget;;5e7cb329-52ec-42f5-99ef-6b02cc3c5274;MP Område Vest Borupvænget;72000000;XG-0000004526-00046
Område Nord Møllevang;;4e4c0117-42f7-45f9-839e-11a16bec5eef;MP Område Nord Møllevang;72000000;XG-0000004526-00033
Thors Bakke;;55f1f202-b10c-4177-8ae1-3da6da9d13d5;MP Thors Bakke;72000000;XG-0000004526-00039
Område Nord Bakkegården;;1457b4db-6d02-44cb-916c-8c7bf9e3463a;MP Område Nord Bakkegården;72000000;XG-0000004526-00028
Café Nellemann;;07600a99-58cd-42b8-b83e-03a2e3cfb04c;MP Café Nellemann;72000000;XG-0000004526-00037
Randers Fjords Færgefart;;b5c4a33b-2cf0-4075-b524-df12c6994974;MP Randers Fjords Færgefart;79000000;XG-0000005094-00001
Randers Bibliotek;;f34a20f8-d194-41c4-a977-49469b0ec907;MP Randers Bibliotek;95941203;
Område Norde Åbakken;;e576cad2-7418-47c4-8437-0d97b4d1696b;MP Område Norde Åbakken;72000000;XG-0000004526-00031
Område Syd Huset Nyvang;;c9a8160e-5af7-413f-bf43-7e65fa85cbfd;MP Område Syd Huset Nyvang;72000000;XG-0000004526-00035
Område Vest Kildevang;;77291057-f418-4e5c-bae1-7f3fc13704ff;MP Område Vest Kildevang;72000000;XG-0000004526-00045
